11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,50%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.875C soc0@61.531C gpu@62.218C tj@63.656C soc1@62.312C VDD_IN 4306mW/4270mW VDD_CPU_GPU_CV 518mW/490mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.843C soc2@62.843C soc0@61.562C gpu@62.312C tj@63.843C soc1@62.25C VDD_IN 4306mW/4271mW VDD_CPU_GPU_CV 518mW/491mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.781C soc0@61.593C gpu@62.468C tj@63.687C soc1@62.312C VDD_IN 4306mW/4272mW VDD_CPU_GPU_CV 518mW/491mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.843C soc2@62.843C soc0@61.562C gpu@62.312C tj@63.843C soc1@62.343C VDD_IN 4306mW/4272mW VDD_CPU_GPU_CV 518mW/492mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [50%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.812C soc0@61.687C gpu@62.375C tj@63.656C soc1@62.25C VDD_IN 4306mW/4273mW VDD_CPU_GPU_CV 518mW/492mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.812C soc2@62.843C soc0@61.562C gpu@62.5C tj@63.812C soc1@62.375C VDD_IN 4306mW/4274mW VDD_CPU_GPU_CV 518mW/493mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.718C soc2@62.875C soc0@61.593C gpu@62.531C tj@63.718C soc1@62.343C VDD_IN 4306mW/4274mW VDD_CPU_GPU_CV 518mW/493mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,off,off] GR3D_FREQ 0% cpu@63.781C soc2@62.843C soc0@61.593C gpu@62.5C tj@63.781C soc1@62.312C VDD_IN 4306mW/4275mW VDD_CPU_GPU_CV 518mW/493mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.625C soc2@62.875C soc0@61.625C gpu@62.437C tj@63.625C soc1@62.281C VDD_IN 4306mW/4275mW VDD_CPU_GPU_CV 518mW/494mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.812C soc2@62.843C soc0@61.593C gpu@62.375C tj@63.812C soc1@62.437C VDD_IN 4306mW/4276mW VDD_CPU_GPU_CV 518mW/494mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.656C soc2@62.906C soc0@61.593C gpu@62.343C tj@63.656C soc1@62.281C VDD_IN 4306mW/4276mW VDD_CPU_GPU_CV 518mW/495mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.5C gpu@62.312C tj@63.687C soc1@62.312C VDD_IN 4306mW/4277mW VDD_CPU_GPU_CV 518mW/495mW VDD_SOC 1315mW/1315mW
11-27-2024 19:20:22 RAM 3150/7620MB (lfb 37x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,off,off] GR3D_FREQ 0% cpu@63.687C soc2@62.843C soc0@61.593C gpu@62.312C tj@63.687C soc1@62.468C VDD_IN 4306mW/4277mW VDD_CPU_GPU_CV 518mW/495mW VDD_SOC 1315mW/1315mW
