Selecting ALL deduped manifest records (no region filter/cap)...
Downloading 770552 images with 40 workers into /mnt/sdc1/astroloc/reference_db/astroloc_train/gape_queries...
  [87000/770552] {'fetched': 79572, 'skip_exists': 7427, 'failed': 1} rate=29.6/s eta=384.7min
  [88000/770552] {'fetched': 80542, 'skip_exists': 7457, 'failed': 1} rate=29.5/s eta=385.6min
  [89000/770552] {'fetched': 81372, 'skip_exists': 7627, 'failed': 1} rate=29.4/s eta=386.0min
  [90000/770552] {'fetched': 82261, 'skip_exists': 7738, 'failed': 1} rate=29.3/s eta=386.6min
  [91000/770552] {'fetched': 83137, 'skip_exists': 7862, 'failed': 1} rate=29.3/s eta=386.5min
  [92000/770552] {'fetched': 84048, 'skip_exists': 7951, 'failed': 1} rate=29.2/s eta=387.9min
  [93000/770552] {'fetched': 84993, 'skip_exists': 8006, 'failed': 1} rate=29.1/s eta=388.1min
  [94000/770552] {'fetched': 85816, 'skip_exists': 8183, 'failed': 1} rate=29.1/s eta=387.9min
  [95000/770552] {'fetched': 86649, 'skip_exists': 8350, 'failed': 1} rate=29.1/s eta=387.4min
  [96000/770552] {'fetched': 87529, 'skip_exists': 8470, 'failed': 1} rate=29.0/s eta=387.6min
  [97000/770552] {'fetched': 88471, 'skip_exists': 8528, 'failed': 1} rate=28.9/s eta=388.2min
  [98000/770552] {'fetched': 89424, 'skip_exists': 8575, 'failed': 1} rate=28.9/s eta=388.2min
  [99000/770552] {'fetched': 90321, 'skip_exists': 8678, 'failed': 1} rate=28.8/s eta=388.2min
  [100000/770552] {'fetched': 91243, 'skip_exists': 8756, 'failed': 1} rate=28.8/s eta=388.2min
  [101000/770552] {'fetched': 92177, 'skip_exists': 8822, 'failed': 1} rate=28.7/s eta=388.3min
  [102000/770552] {'fetched': 93084, 'skip_exists': 8915, 'failed': 1} rate=28.7/s eta=388.7min
  [103000/770552] {'fetched': 93922, 'skip_exists': 9077, 'failed': 1} rate=28.6/s eta=388.8min
  [104000/770552] {'fetched': 94836, 'skip_exists': 9163, 'failed': 1} rate=28.5/s eta=389.7min
  [105000/770552] {'fetched': 95694, 'skip_exists': 9305, 'failed': 1} rate=28.5/s eta=389.8min
